Puesto,Sueldo_Bruto,Ubicación,Modalidad_Trabajo,Rol,Nivel,Fuente,URL,Fecha_Captura,Sueldo_Aprox_Mercado,Sueldo_Final,Tipo_Dato
Data Analyst & Reporting Services,28000.0,No especificada,Remoto,Data Analyst,Senior,Tecnoempleo,https://www.tecnoempleo.com/data-analyst-reporting-services-randstad-es/data/rf-2c86146012d0a3fcb54a,2026-01-20,58500.0,28000.0,Real
Senior Data Scientist Credit Modelling,,No especificada,No especificado,IT Generalist,Senior,Tecnoempleo,https://www.tecnoempleo.com/senior-data-scientist-credit-modelling-bnp-paribas/data/rf-1a211708d29ec373c649,2026-01-20,56500.0,56500.0,Estimado
Data Engineer,,No especificada,Remoto,Data Engineer,Senior,Tecnoempleo,https://www.tecnoempleo.com/data-engineer-ust/spark-scala/rf-65d318f3f2af539fbb48,2026-01-20,75000.0,75000.0,Estimado
Data Engineer / Data Processing,,No especificada,Remoto,Data Engineer,Senior,Tecnoempleo,https://www.tecnoempleo.com/data-engineer-data-processing-arelance/udp-unified-data-platform/rf-1d061fc092c7e35a8545,2026-01-20,75000.0,75000.0,Estimado
Data Engineer Databricks,,No especificada,Remoto,Data Engineer,Senior,Tecnoempleo,https://www.tecnoempleo.com/data-engineer-databricks-deloitte/pyspark-python/rf-808912e3e22aa3f8534b,2026-01-20,75000.0,75000.0,Estimado
Data Engineer - Talend + PySpark,42000.0,No especificada,Remoto,Data Engineer,Senior,Tecnoempleo,https://www.tecnoempleo.com/data-engineer-talend-pyspark-serem/etl-elt/rf-215d1307b235d377da4a,2026-01-20,75000.0,42000.0,Real
Profesor/a Inteligencia Artificial y Big Data,,No especificada,Híbrido/Presencial,IT Generalist,Senior,Tecnoempleo,https://www.tecnoempleo.com/profesor-inteligencia-artificial-big-data-gm-quali/inteligencia-artificial/rf-b463148122fe732c7c4f,2026-01-20,56500.0,56500.0,Estimado
Data Engineer,,No especificada,No especificado,Data Engineer,Senior,Tecnoempleo,https://www.tecnoempleo.com/data-engineer-ey/python-sql/rf-3fcd13e3521803bb8445,2026-01-20,75000.0,75000.0,Estimado
Enterprise Data & AI Architect for SAP,,No especificada,No especificado,IT Generalist,Senior,Tecnoempleo,https://www.tecnoempleo.com/enterprise-data-ai-architect-for-sap-accenture/hana-databricks/rf-890515f0b246c3382846,2026-01-20,56500.0,56500.0,Estimado
Data Governance,60000.0,No especificada,No especificado,IT Generalist,Senior,Tecnoempleo,https://www.tecnoempleo.com/data-governance-page-personnel/data/rf-ce8f132f3276a3d66c4a,2026-01-20,56500.0,60000.0,Real
